question_id,cluster_id
308,390
594,763
2688,207
3589,390
3798,1043
8145,731
12855,699
12877,600
10499,379
9932,149
11055,1179
14698,493
20081,204
18717,1091
16568,751
22704,11
23472,1077
20811,89
28009,383
26002,338
30062,651
33204,335
27562,1264
29699,802
28922,324
30775,949
31885,296
30790,296
37586,558
36813,180
29744,390
38801,102
41838,101
42483,319
36825,1106
33903,1077
39576,277
39438,1077
43866,57
47225,231
38435,306
39777,326
42386,87
41781,344
47279,13
43819,1261
40586,1297
44005,221
38014,818
44224,1077
49602,751
38074,1124
48486,13
46380,884
47366,488
19058,606
26746,420
51092,1245
52239,1295
53365,516
53316,607
43808,765
49355,757
51264,437
51470,1227
53379,402
53676,392
55342,575
55899,27
56591,345
57878,712
57179,46
58831,703
56895,792
58540,397
59232,767
59303,429
64875,776
61963,1018
62876,149
64781,1262
65447,304
67557,662
66542,211
67666,36
69230,413
70170,815
70072,211
70602,46
69764,1077
70742,292
71563,65
70721,787
73037,854
72151,1035
74010,989
73751,83
73607,1135
75267,108
75959,632
79241,383
78952,296
78626,211
79229,180
79266,206
80612,19
81587,235
83040,63
83130,1050
83122,990
81448,263
82047,510
83050,748
82235,431
83068,442
83856,1162
83991,866
84782,279
83807,1191
82644,296
83967,908
84661,176
85006,877
85978,1191
85804,980
86987,348
86684,17
85675,589
87230,612
87769,387
87883,374
87603,694
87877,930
89696,439
89320,221
93539,1216
95578,1194
95950,6
96945,44
101033,279
101184,1169
101046,15
101834,13
104066,917
102477,206
102881,1222
104791,17
105836,147
103389,198
106323,551
111440,937
114910,80
112812,1270
115503,109
116173,534
116639,499
117248,123
116525,452
116760,361
116522,1292
117512,125
116938,77
118367,226
119011,154
118190,426
120001,155
120504,261
119540,231
120900,1066
121387,1
122302,800
121350,632
122736,1007
122772,139
123421,13
123039,1202
121631,23
122215,101
122909,1147
126421,13
126188,13
126652,774
126720,19
128232,295
129046,383
128527,402
128623,328
131164,459
130500,1135
131142,1077
132409,364
133993,1065
134456,871
134958,711
136034,643
137497,114
138747,403
140153,211
139909,744
140643,460
141232,383
142211,869
142868,508
144175,225
144113,625
144200,364
144167,621
143872,334
147921,11
148136,1195
149078,892
148262,392
148648,27
150177,308
151190,971
152837,207
152435,211
152537,513
152441,101
153151,1286
153095,619
153815,664
154722,613
155367,413
156032,483
155334,1199
156329,3
156697,776
157845,11
158310,344
158189,1211
158571,123
159769,755
161093,897
159721,322
160904,360
162255,104
162762,975
163389,262
163980,296
165365,1030
166270,58
167916,1282
165105,508
166836,231
167471,361
171868,27
169989,662
172278,295
172948,1242
173629,46
174297,40
174595,751
174912,1167
175055,604
174727,592
177240,699
177284,624
177752,750
179849,1094
179365,1164
179839,563
180518,703
181344,205
181272,1080
181778,36
182262,252
182534,13
182931,1132
182073,604
183021,372
182544,1167
183642,143
183963,372
185327,1273
185638,11
185621,412
186443,58
186403,263
188118,139
187474,648
187886,60
188099,107
187988,924
189213,1247
189557,884
190693,1248
193107,520
191640,324
193215,721
192655,481
192756,469
194352,11
195410,413
196247,13
196171,737
197097,403
197033,27
198108,308
198952,60
198551,936
199537,335
198703,58
200056,58
199508,731
200513,365
201185,170
202609,976
203376,211
201288,697
203469,15
202623,892
204336,425
203484,737
202456,111
204549,1013
203493,108
