question_id,cluster_id
308,73
594,14
2688,45
3589,12
3798,33
8145,20
12855,82
12877,75
10499,72
9932,56
11055,15
14698,97
20081,34
18717,44
16568,0
22704,56
23472,78
20811,73
28009,82
26002,78
30062,59
33204,56
27562,38
29699,45
28922,59
30775,17
31885,78
30790,78
37586,78
36813,20
29744,73
38801,44
41838,78
42483,78
36825,20
33903,4
39576,61
39438,78
43866,9
47225,78
38435,94
39777,42
42386,59
41781,12
47279,78
43819,24
40586,97
44005,33
38014,72
44224,78
49602,0
38074,73
48486,78
46380,41
47366,78
19058,24
26746,41
51092,30
52239,17
53365,60
53316,60
43808,56
49355,3
51264,70
51470,54
53379,65
53676,79
55342,65
55899,20
56591,45
57878,82
57179,35
58831,22
56895,93
58540,2
59232,88
59303,33
64875,81
61963,12
62876,49
64781,56
65447,78
67557,20
66542,78
67666,12
69230,20
70170,3
70072,78
70602,35
69764,78
70742,4
71563,4
70721,65
73037,90
72151,80
74010,9
73751,9
73607,75
75267,59
75959,73
79241,82
78952,78
78626,56
79229,20
79266,13
80612,17
81587,81
83040,85
83130,75
83122,78
81448,81
82047,19
83050,32
82235,87
83068,75
83856,16
83991,72
84782,14
83807,5
82644,35
83967,79
84661,58
85006,49
85978,5
85804,73
86987,72
86684,64
85675,95
87230,75
87769,78
87883,41
87603,14
87877,42
89696,3
89320,33
93539,34
95578,12
95950,85
96945,98
101033,28
101184,4
101046,56
101834,9
104066,13
102477,13
102881,64
104791,64
105836,96
103389,88
106323,38
111440,53
114910,26
112812,25
115503,3
116173,78
116639,49
117248,54
116525,59
116760,95
116522,92
117512,42
116938,80
118367,38
119011,4
118190,45
120001,38
120504,13
119540,44
120900,47
121387,29
122302,92
121350,73
122736,28
122772,98
123421,78
123039,53
121631,93
122215,26
122909,49
126421,78
126188,78
126652,86
126720,17
128232,11
129046,82
128527,65
128623,5
131164,61
130500,56
131142,78
132409,21
133993,21
134456,37
134958,30
136034,26
137497,34
138747,3
140153,78
139909,3
140643,92
141232,82
142211,17
142868,3
144175,92
144113,92
144200,78
144167,16
143872,56
147921,56
148136,48
149078,82
148262,79
148648,4
150177,33
151190,9
152837,45
152435,4
152537,37
152441,78
153151,72
153095,21
153815,54
154722,13
155367,20
156032,32
155334,55
156329,46
156697,19
157845,78
158310,4
158189,64
158571,54
159769,84
161093,69
159721,97
160904,59
162255,20
162762,72
163389,4
163980,78
165365,45
166270,78
167916,8
165105,3
166836,44
167471,95
171868,20
169989,9
172278,58
172948,0
173629,35
174297,80
174595,0
174912,9
175055,21
174727,15
177240,82
177284,68
177752,97
179849,78
179365,72
179839,73
180518,93
181344,80
181272,9
181778,12
182262,5
182534,9
182931,64
182073,21
183021,20
182544,76
183642,5
183963,75
185327,93
185638,56
185621,35
186443,78
186403,98
188118,16
