question_id,cluster_id
308,126
594,114
2688,82
3589,74
3798,126
8145,159
12855,88
12877,112
10499,30
9932,126
11055,43
14698,76
20081,34
18717,180
16568,35
22704,126
23472,128
20811,74
28009,126
26002,128
30062,148
33204,97
27562,105
29699,82
28922,129
30775,98
31885,128
30790,128
37586,128
36813,126
29744,126
38801,180
41838,128
42483,128
36825,65
33903,128
39576,106
39438,128
43866,76
47225,126
38435,13
39777,4
42386,129
41781,74
47279,128
43819,86
40586,72
44005,115
38014,98
44224,128
49602,35
38074,71
48486,126
46380,47
47366,74
19058,89
26746,71
51092,113
52239,32
53365,16
53316,16
43808,179
49355,118
51264,177
51470,186
53379,115
53676,112
55342,112
55899,159
56591,82
57878,88
57179,87
58831,185
56895,94
58540,78
59232,136
59303,131
64875,140
61963,70
62876,48
64781,53
65447,139
67557,126
66542,128
67666,52
69230,145
70170,98
70072,128
70602,87
69764,128
70742,159
71563,143
70721,174
73037,142
72151,189
74010,143
73751,143
73607,112
75267,129
75959,39
79241,88
78952,126
78626,179
79229,159
79266,29
80612,49
81587,140
83040,79
83130,112
83122,176
81448,140
82047,163
83050,173
82235,154
83068,112
83856,175
83991,30
84782,14
83807,67
82644,93
83967,52
84661,198
85006,48
85978,67
85804,37
86987,98
86684,146
85675,94
87230,112
87769,98
87883,71
87603,14
87877,4
89696,98
89320,131
93539,188
95578,70
95950,161
96945,196
101033,28
101184,93
101046,110
101834,126
104066,85
102477,29
102881,146
104791,41
105836,1
103389,125
106323,62
111440,79
114910,28
112812,64
115503,196
116173,39
116639,48
117248,186
116525,28
116760,165
116522,191
117512,4
116938,189
118367,139
119011,129
118190,82
120001,139
120504,23
119540,126
120900,145
121387,172
122302,191
121350,37
122736,28
122772,121
123421,128
123039,166
121631,185
122215,127
122909,48
126421,126
126188,126
126652,91
126720,49
128232,0
129046,88
128527,174
128623,67
131164,106
130500,85
131142,128
132409,42
133993,42
134456,162
134958,40
136034,127
137497,34
138747,118
140153,128
139909,118
140643,191
141232,88
142211,32
142868,98
144175,191
144113,191
144200,93
144167,62
143872,9
147921,9
148136,100
149078,88
148262,31
148648,159
150177,131
151190,143
152837,82
152435,159
152537,122
152441,128
153151,30
153095,21
153815,36
154722,29
155367,145
156032,133
155334,193
156329,80
156697,163
157845,85
158310,74
158189,133
158571,36
159769,35
161093,132
159721,72
160904,129
162255,159
162762,30
163389,159
163980,128
165365,117
166270,13
167916,63
165105,42
166836,126
167471,165
171868,159
169989,143
172278,46
172948,17
173629,13
174297,137
174595,35
174912,136
175055,21
174727,43
177240,88
177284,90
177752,72
179849,128
179365,13
179839,71
180518,185
181344,95
181272,38
181778,74
182262,99
182534,143
182931,86
182073,21
183021,85
182544,136
183642,99
183963,112
185327,57
185638,85
185621,87
186443,98
186403,121
188118,62
187474,133
187886,191
188099,169
187988,2
189213,172
189557,47
190693,131
193107,171
191640,129
193215,82
192655,65
192756,112
194352,126
195410,145
196247,126
196171,33
197097,118
197033,159
198108,131
198952,191
198551,98
199537,97
198703,21
200056,128
199508,159
200513,19
201185,104
202609,111
203376,128
201288,140
203469,67
202623,88
204336,32
203484,133
202456,126
204549,41
203493,129
205136,112
205160,112
205736,177
205351,41
206055,13
205950,153
205304,74
206222,133
207337,159
207025,86
208666,180
207801,126
208493,177
208236,101
209128,126
208295,24
208811,13
210882,126
211133,21
211959,140
213151,65
212264,88
213476,3
214930,128
216601,126
218561,177
218332,140
219482,82
219982,167
220119,74
222792,145
223238,37
221822,166
221909,72
223096,41
222339,126
223921,93
226016,140
228221,186
230348,143
230085,85
230037,42
230196,107
230248,105
230927,98
231812,93
232961,76
234606,112
234039,139
233870,74
233564,88
234657,195
234622,29
234532,1
238488,78
237327,165
238956,79
239622,112
239934,30
240354,64
240393,162
240046,140
240182,80
240788,28
240341,33
240765,54
241361,76
241622,110
242016,39
243528,4
242771,28
243510,167
244087,23
243790,164
244671,150
246017,93
247090,37
247317,13
248046,95
248761,51
250545,74
249865,95
250816,128
250509,171
250792,159
251060,65
251069,93
251172,2
251409,34
251648,176
251651,97
251902,83
253563,30
253881,141
253971,140
254213,21
254697,171
256700,34
256956,128
257324,133
258134,151
259860,121
260200,128
259943,126
260679,153
261064,74
261924,17
261068,65
262325,42
262278,167
262338,119
263836,163
265122,145
264914,43
265690,53
266546,109
267792,74
268429,38
269093,4
269145,74
269570,131
270127,78
269466,146
270695,106
270552,153
272779,65
271953,37
273929,14
274822,174
277744,61
277665,42
278189,129
278882,28
278871,151
278848,145
282222,148
282067,78
283589,37
282659,93
283061,198
284382,53
284653,164
284344,52
285098,126
285162,159
285394,110
285477,35
286091,128
286946,169
287409,83
286549,83
287563,41
288381,30
288007,23
288402,143
287783,131
288755,65
288988,158
289523,72
291493,99
291172,184
292809,93
294741,83
293600,29
295009,143
294465,31
296097,97
296001,153
